Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
20.92,0.0691,0.6582,-0.8159,-0.16,0.72,-0.43
21.03,0.0754,0.6614,-0.8018,-0.03,1.09,-0.49
21.14,0.0730,0.6562,-0.8049,-0.12,0.54,-0.50
21.24,0.0708,0.6543,-0.8042,-0.10,0.50,-0.45
21.35,0.0645,0.6560,-0.8008,-0.21,0.73,-0.50
21.45,0.0710,0.6580,-0.8064,-0.18,0.47,-0.40
21.56,0.0691,0.6494,-0.8096,-0.37,0.41,-0.45
21.66,0.0701,0.6621,-0.8025,-0.32,0.69,-0.36
21.77,0.0708,0.6570,-0.8135,-0.22,0.62,-0.40
21.87,0.0730,0.6521,-0.8071,-0.27,0.37,-0.31
21.98,0.0735,0.6531,-0.8074,-0.25,0.77,-0.42
22.09,0.0698,0.6653,-0.8057,1.90,0.81,-0.47
22.19,0.0698,0.6543,-0.8069,0.06,0.38,-0.31
22.30,0.0669,0.6577,-0.7847,-0.09,0.75,-0.37
22.40,0.0750,0.6616,-0.7822,-0.15,0.88,-0.11
22.51,0.0747,0.6689,-0.8020,-0.21,0.76,-0.35
22.61,0.0662,0.6711,-0.7986,-0.11,0.74,-0.40
22.72,0.0769,0.6565,-0.8115,-0.31,0.53,-0.47
22.82,0.0759,0.6582,-0.8091,-0.21,0.50,-0.44
22.93,0.0671,0.6587,-0.8225,-0.14,0.27,-0.56
23.04,0.0681,0.6533,-0.8074,-0.17,0.44,-0.31
23.14,0.0674,0.6602,-0.8040,-0.15,0.91,-0.38
23.25,0.0659,0.6411,-0.7974,-0.09,0.31,-0.27
23.35,0.0701,0.6616,-0.8062,-0.12,0.65,-0.53
23.46,0.0698,0.6584,-0.8064,-0.18,0.95,-0.22
23.56,0.0725,0.6660,-0.8103,-0.09,0.59,-0.49
23.67,0.0698,0.6465,-0.7839,1.89,0.60,-0.34
23.77,0.0679,0.6626,-0.8052,-0.21,0.55,-0.41
23.88,0.0627,0.6604,-0.8174,-0.26,0.81,-0.30
23.98,0.0706,0.6580,-0.8240,-0.14,0.68,-0.37
24.09,0.0671,0.6584,-0.8052,-0.20,0.74,-0.27
24.20,0.0723,0.6611,-0.8076,-1.95,0.91,-0.20
24.30,0.0715,0.6575,-0.8096,-0.08,0.72,-0.52
24.41,0.0730,0.6470,-0.8062,-0.11,0.19,-0.44
24.51,0.0745,0.6438,-0.8035,-0.18,0.74,-0.34
24.62,0.0688,0.6450,-0.8093,-0.24,0.30,-0.40
24.72,0.0708,0.6438,-0.8098,-0.21,0.91,-0.50
24.83,0.0679,0.6572,-0.8062,-0.15,0.49,-0.35
24.93,0.0723,0.6692,-0.8135,-0.25,0.70,-0.27
25.04,0.0732,0.6694,-0.7900,0.08,0.97,-0.62
25.14,0.0762,0.6431,-0.7993,-1.92,0.71,-0.36
25.25,0.0740,0.6584,-0.7976,-0.21,0.54,-0.44
25.36,0.0703,0.6462,-0.8069,-0.09,0.47,-0.41
25.46,0.0686,0.6592,-0.8022,-0.02,0.46,-0.33
25.57,0.0718,0.6616,-0.8101,-0.21,0.76,-0.49
25.67,0.0686,0.6553,-0.8118,0.09,0.08,-0.60
25.78,0.0708,0.6694,-0.8088,-0.09,0.76,-0.41
25.88,0.0654,0.6589,-0.7993,-0.22,0.79,-0.53
25.99,0.0647,0.6565,-0.8081,-0.07,0.58,-0.42
26.10,0.0732,0.6416,-0.7976,-0.08,0.44,-0.38
26.20,0.0659,0.6604,-0.8013,-0.30,0.47,-0.55
26.31,0.0693,0.6589,-0.8044,-0.21,0.73,-0.56
26.41,0.0771,0.6653,-0.8018,-0.14,0.80,-0.24
26.52,0.0725,0.6582,-0.7966,-0.11,0.37,-0.35
26.62,0.0691,0.6589,-0.7998,-0.17,0.56,-0.28
26.73,0.0662,0.6604,-0.8076,-0.17,0.73,-0.34
26.83,0.0706,0.6516,-0.8062,-0.18,0.53,-0.36
26.94,0.0723,0.6592,-0.8174,-0.13,0.60,-0.44
27.05,0.0713,0.6594,-0.8105,-0.08,1.00,-0.36
27.15,0.0686,0.6538,-0.8113,-0.27,0.82,-0.40
27.26,0.0684,0.6545,-0.7969,-0.13,0.52,-0.53
27.36,0.0627,0.6558,-0.8108,-0.27,0.63,-0.30
27.47,0.0742,0.6599,-0.8049,-0.27,0.73,-0.44
27.57,0.0742,0.6704,-0.8125,-0.03,0.62,-0.32
27.68,0.0732,0.6582,-0.8098,-0.09,0.55,-0.44
27.78,0.0701,0.6533,-0.8025,-0.04,0.76,-0.34
27.89,0.0688,0.6409,-0.7881,-0.41,0.88,-0.28
28.00,0.0706,0.6418,-0.8027,-1.95,0.38,-0.30
28.10,0.0730,0.6506,-0.8054,-0.18,0.57,-0.33
28.21,0.0740,0.6418,-0.8083,-0.18,0.56,-0.45
28.31,0.0710,0.6626,-0.8010,-0.11,0.47,-0.50
28.42,0.0657,0.6714,-0.8040,-0.21,0.35,-0.45
28.52,0.0730,0.6521,-0.8093,-0.24,0.82,-0.31
28.63,0.0718,0.6570,-0.8118,-0.08,0.69,-0.47
28.73,0.0671,0.6565,-0.8035,0.02,0.41,-0.37
28.84,0.0735,0.6558,-0.8083,-0.14,1.02,-0.56
28.94,0.0754,0.6589,-0.8147,-0.15,0.70,-0.39
29.05,0.0710,0.6592,-0.8022,-0.19,0.43,-0.27
29.16,0.0713,0.6543,-0.8064,-0.03,0.47,-0.29
29.26,0.0715,0.6589,-0.8079,-0.18,0.83,-0.23
29.37,0.0701,0.6558,-0.8042,-1.91,0.55,-0.37
29.47,0.0737,0.6602,-0.8074,-0.11,0.42,-0.37
29.58,0.0723,0.6633,-0.8025,-0.21,0.96,-0.48
29.68,0.0759,0.6555,-0.8132,-0.21,0.85,-0.52
29.79,0.0771,0.6565,-0.7954,-0.07,0.59,-0.42
29.89,0.0664,0.6589,-0.8120,-0.11,0.80,-0.31
30.00,0.0715,0.6555,-0.8120,-0.13,0.68,-0.31
30.11,0.0735,0.6594,-0.8201,-0.14,0.38,-0.50
30.21,0.0664,0.6528,-0.7917,-0.43,0.56,-0.47
30.32,0.0698,0.6709,-0.8074,-0.22,0.82,-0.41
30.42,0.0630,0.6536,-0.8157,-0.25,0.40,-0.45
30.53,0.0674,0.6577,-0.8064,-0.22,0.60,-0.37
30.63,0.0713,0.6592,-0.8049,-0.17,1.08,-0.18
30.74,0.0686,0.6541,-0.8145,-0.18,0.26,-0.40
30.84,0.0706,0.6548,-0.7979,-0.27,0.28,-0.44
